onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.0	2.0	0.0	0.731	post	cost
4.0	3.0	5.0	1.0	0.838	n/a	/BLUEbox.bmp
7.0	4.400000000000006	6.0	1.0	0.769	task-Rhyming/perceptual_o.bmp	task-Rhyming/perceptual_p.bmp
11.400000000000006	4.0	3.0	1.0	1.405	rum	numb
15.400000000000006	3.7989999999999924	5.0	1.0	0.677	n/a	/BLUEbox.bmp
19.198999999999998	4.0	6.0	1.0	0.947	task-Rhyming/perceptual_c.bmp	task-Rhyming/perceptual_u.bmp
23.198999999999998	4.0	1.0	1.0	0.844	fought	sought
27.198999999999998	4.0	1.0	1.0	0.761	scheme	theme
31.198999999999998	4.0	6.0	1.0	0.726	task-Rhyming/perceptual_m.bmp	task-Rhyming/perceptual_n.bmp
35.199	4.400000000000006	1.0	1.0	0.823	stool	fool
39.599000000000004	3.399000000000001	5.0	1.0	0.51	n/a	/BLUEbox.bmp
42.998000000000005	4.400000000000006	1.0	1.0	0.802	soak	oak
47.39800000000001	4.3999999999999915	2.0	0.0	1.591	threat	wheat
51.798	4.0	1.0	1.0	0.776	thread	spread
55.798	4.400000000000006	3.0	0.0	2.557	pile	trial
60.19800000000001	4.799999999999997	4.0	0.0	0.839	swap	watch
64.998	3.7990000000000066	5.0	1.0	0.641	n/a	/BLUEbox.bmp
68.79700000000001	3.4000000000000057	5.0	1.0	0.414	n/a	/BLUEbox.bmp
72.19700000000002	4.399999999999977	4.0	1.0	0.862	tough	dull
76.597	4.800000000000011	6.0	1.0	0.82	task-Rhyming/perceptual_w.bmp	task-Rhyming/perceptual_e.bmp
81.397	4.800000000000011	1.0	1.0	0.648	sweep	creep
86.19700000000002	4.798999999999978	6.0	1.0	0.961	task-Rhyming/perceptual_k.bmp	task-Rhyming/perceptual_t.bmp
90.996	3.4000000000000057	5.0	1.0	0.668	n/a	/BLUEbox.bmp
94.396	3.4000000000000057	3.0	1.0	0.685	stroke	soak
97.796	4.400000000000006	4.0	1.0	1.326	trial	fall
102.19600000000001	4.799999999999983	6.0	1.0	0.952	task-Rhyming/perceptual_k.bmp	task-Rhyming/perceptual_l.bmp
106.996	3.0	5.0	1.0	0.709	n/a	/BLUEbox.bmp
109.996	3.4000000000000057	5.0	1.0	0.477	n/a	/BLUEbox.bmp
113.396	3.399000000000001	5.0	1.0	0.649	n/a	/BLUEbox.bmp
116.795	3.4000000000000057	5.0	1.0	0.937	n/a	/BLUEbox.bmp
120.19500000000001	4.0	1.0	1.0	0.667	beef	reef
124.19500000000001	3.0	5.0	1.0	0.652	n/a	/BLUEbox.bmp
127.19500000000001	4.799999999999997	2.0	err	err	wart	smart
131.995	4.800000000000011	2.0	0.0	0.873	dose	pose
136.79500000000002	3.399000000000001	5.0	1.0	0.467	n/a	/BLUEbox.bmp
